recommendation_id,title,description,difficulty,duration_minutes,category
1,Passeggiata veloce nel quartiere,Fai una passeggiata a passo sostenuto per almeno 30 minuti nel tuo quartiere o in un parco vicino.,Bassa,30,Cardio
2,Scale invece dell'ascensore,Usa sempre le scale quando possibile durante il giorno per aumentare l'attività fisica quotidiana.,Bassa,5,Cardio
3,Stretching mattutino,Dedica 10 minuti al risveglio per fare stretching e preparare il corpo alla giornata.,Bassa,10,Flessibilità
4,Squat durante le pause,Fai 15-20 squat durante le pause dal lavoro per attivare gambe e glutei.,Media,3,Forza
5,Jogging leggero,Corri a un ritmo moderato per 20-25 minuti per migliorare la resistenza cardiovascolare.,Media,25,Cardio
6,Yoga per principianti,Segui una sessione di yoga di base per migliorare la flessibilità e il rilassamento.,Bassa,20,Flessibilità
7,Cyclette o bicicletta,Pedala per 30-40 minuti a un ritmo costante per allenare gambe e cuore.,Media,35,Cardio
8,Piegamenti e addominali,Alterna serie di piegamenti e addominali per rafforzare la parte superiore del corpo.,Media,15,Forza
9,Nuoto in piscina,Nuota per 30 minuti alternando stili diversi per un allenamento completo.,Media,30,Cardio
10,Passeggiata nella natura,Fai un'escursione o una passeggiata in montagna o in un parco naturale.,Media,60,Cardio
11,Allenamento HIIT breve,Esegui 15 minuti di esercizi ad alta intensità alternati a recupero.,Alta,15,HIIT
12,Pilates a casa,Segui una sessione di pilates per migliorare il core e la postura.,Media,25,Forza
13,Saltelli e jumping jacks,Fai 10 minuti di esercizi dinamici come i saltelli per attivare tutto il corpo.,Media,10,Cardio
14,Stretching serale,Rilassa i muscoli con 15 minuti di stretching prima di andare a dormire.,Bassa,15,Flessibilità
15,Corsa intensa,Corri a un ritmo sostenuto per 30-45 minuti per migliorare velocità e resistenza.,Alta,40,Cardio
16,Allenamento con pesi leggeri,Usa manubri o pesi leggeri per esercizi di tonificazione di braccia e spalle.,Media,20,Forza
17,Ballo o aerobica,Segui una lezione di ballo o aerobica per unire divertimento e movimento.,Media,45,Cardio
18,Plank e stabilità del core,Concentrati su esercizi per il core come il plank e vari tipi di addominali.,Media,12,Forza
19,Corsa a intervalli,Alterna scatti e recupero per 25 minuti per un allenamento cardiovascolare intenso.,Alta,25,HIIT
20,Passeggiata rilassante,Fai una passeggiata lenta e piacevole di 45 minuti per il benessere mentale.,Bassa,45,Cardio